CustomerID,State,Age,Gender,Country
13085,England,54,Male,United Kingdom
13078,Wales,40,Female,United Kingdom
15362,England,46,Female,United Kingdom
18102,England,33,Female,United Kingdom
18087,England,34,Female,United Kingdom
13635,England,44,Female,United Kingdom
14110,England,22,Male,United Kingdom
17519,Scotland,34,Other,United Kingdom
13758,England,27,Female,United Kingdom
15413,England,26,Female,United Kingdom
17592,England,18,Male,United Kingdom
16167,Wales,60,Female,United Kingdom
17865,England,29,Female,United Kingdom
13767,England,57,Female,United Kingdom
13293,England,56,Female,United Kingdom
17238,England,20,Male,United Kingdom
16011,England,23,Male,United Kingdom
13916,England,70,Male,United Kingdom
15712,England,66,Male,United Kingdom
15311,England,39,Male,United Kingdom
16329,England,43,Male,United Kingdom
15461,England,30,Male,United Kingdom
17700,England,46,Female,United Kingdom
15998,England,29,Male,United Kingdom
12931,England,18,Female,United Kingdom
15614,England,20,Female,United Kingdom
Synthetic_5,England,40,Female,United Kingdom
16128,England,23,Male,United Kingdom
16714,England,38,Female,United Kingdom
17984,England,23,Female,United Kingdom
14748,England,28,Other,United Kingdom
14871,England,52,Female,United Kingdom
13394,England,43,Female,United Kingdom
15299,Wales,39,Female,United Kingdom
16393,Wales,53,Male,United Kingdom
14040,England,47,Male,United Kingdom
15796,England,61,Female,United Kingdom
12913,England,33,Male,United Kingdom
15091,England,33,Male,United Kingdom
15061,England,20,Female,United Kingdom
14292,England,33,Male,United Kingdom
14341,England,54,Female,United Kingdom
17804,England,59,Female,United Kingdom
13599,Scotland,54,Male,United Kingdom
Synthetic_6,England,18,Male,United Kingdom
13768,England,56,Male,United Kingdom
17641,England,18,Male,United Kingdom
17063,England,53,Male,United Kingdom
13545,England,34,Male,United Kingdom
16955,England,50,Male,United Kingdom
15719,Wales,20,Male,United Kingdom
15793,England,57,Female,United Kingdom
17056,Wales,18,Female,United Kingdom
13526,Scotland,29,Female,United Kingdom
14654,England,25,Female,United Kingdom
17998,Wales,18,Male,United Kingdom
17742,England,41,Female,United Kingdom
15326,England,67,Male,United Kingdom
14478,England,70,Male,United Kingdom
15005,England,41,Female,United Kingdom
15967,England,56,Male,United Kingdom
17611,England,43,Male,United Kingdom
15051,England,47,Female,United Kingdom
13097,England,34,Female,United Kingdom
13590,England,42,Male,United Kingdom
14030,England,48,Male,United Kingdom
15984,England,31,Female,United Kingdom
17091,England,38,Female,United Kingdom
16887,England,39,Male,United Kingdom
12921,Northern Ireland,52,Female,United Kingdom
14621,England,24,Female,United Kingdom
14543,England,39,Male,United Kingdom
15945,England,68,Female,United Kingdom
18037,England,57,Female,United Kingdom
15662,England,60,Male,United Kingdom
15380,England,40,Female,United Kingdom
16422,England,44,Male,United Kingdom
13711,England,55,Female,United Kingdom
16150,England,63,Female,United Kingdom
13110,England,18,Male,United Kingdom
12836,Scotland,20,Female,United Kingdom
18287,England,59,Female,United Kingdom
15254,England,35,Male,United Kingdom
Synthetic_7,England,29,Male,United Kingdom
Synthetic_8,England,21,Male,United Kingdom
16620,England,31,Female,United Kingdom
Synthetic_9,England,18,Female,United Kingdom
Synthetic_10,England,70,Female,United Kingdom
Synthetic_11,Scotland,39,Male,United Kingdom
Synthetic_12,England,39,Female,United Kingdom
Synthetic_13,England,48,Male,United Kingdom
14558,England,54,Male,United Kingdom
17961,England,54,Male,United Kingdom
Synthetic_14,England,56,Male,United Kingdom
Synthetic_15,England,30,Female,United Kingdom
Synthetic_16,England,35,Female,United Kingdom
17485,England,51,Female,United Kingdom
15601,England,32,Female,United Kingdom
Synthetic_17,England,39,Male,United Kingdom
13585,England,45,Other,United Kingdom
Synthetic_18,England,51,Female,United Kingdom
Synthetic_19,England,18,Female,United Kingdom
Synthetic_20,England,50,Male,United Kingdom
13442,England,36,Female,United Kingdom
Synthetic_21,Scotland,50,Female,United Kingdom
Synthetic_22,England,51,Male,United Kingdom
13381,England,64,Female,United Kingdom
16763,England,60,Female,United Kingdom
17345,England,60,Male,United Kingdom
17243,England,61,Male,United Kingdom
Synthetic_23,England,44,Female,United Kingdom
14865,England,40,Male,United Kingdom
13819,Wales,53,Female,United Kingdom
Synthetic_24,England,50,Female,United Kingdom
15750,England,35,Male,United Kingdom
15808,Scotland,46,Female,United Kingdom
17191,England,39,Female,United Kingdom
13748,England,27,Female,United Kingdom
Synthetic_25,Scotland,59,Female,United Kingdom
15265,England,40,Female,United Kingdom
17428,England,70,Male,United Kingdom
15485,Scotland,18,Male,United Kingdom
17246,England,31,Male,United Kingdom
14061,England,40,Male,United Kingdom
14108,England,57,Female,United Kingdom
13648,England,45,Male,United Kingdom
16563,England,44,Female,United Kingdom
16701,Scotland,23,Male,United Kingdom
12842,England,22,Male,United Kingdom
14302,England,44,Female,United Kingdom
14135,England,19,Male,United Kingdom
14831,England,32,Female,United Kingdom
15602,England,47,Male,United Kingdom
13777,England,25,Female,United Kingdom
14000,Wales,64,Female,United Kingdom
16823,England,58,Female,United Kingdom
16163,England,18,Male,United Kingdom
17193,England,26,Female,United Kingdom
15759,England,18,Female,United Kingdom
16131,Northern Ireland,28,Female,United Kingdom
14560,Wales,51,Male,United Kingdom
17019,England,33,Male,United Kingdom
17087,England,46,Male,United Kingdom
14894,England,18,Male,United Kingdom
15353,England,51,Female,United Kingdom
16202,England,31,Male,United Kingdom
16700,England,40,Male,United Kingdom
17511,England,38,Female,United Kingdom
14299,England,20,Male,United Kingdom
17949,England,22,Female,United Kingdom
14799,Scotland,54,Female,United Kingdom
16550,England,45,Male,United Kingdom
12980,England,55,Female,United Kingdom
14425,England,44,Male,United Kingdom
17818,Northern Ireland,42,Male,United Kingdom
13623,England,18,Male,United Kingdom
13654,England,35,Male,United Kingdom
17189,England,39,Male,United Kingdom
13269,England,69,Male,United Kingdom
14653,England,50,Female,United Kingdom
15542,England,63,Female,United Kingdom
13564,England,48,Female,United Kingdom
16467,England,29,Female,United Kingdom
15833,England,41,Male,United Kingdom
14527,England,43,Male,United Kingdom
17476,England,25,Male,United Kingdom
15287,England,34,Male,United Kingdom
14440,England,36,Female,United Kingdom
15680,England,64,Female,United Kingdom
15581,England,18,Male,United Kingdom
13740,England,58,Male,United Kingdom
13070,England,25,Male,United Kingdom
17768,England,19,Male,United Kingdom
12948,England,57,Male,United Kingdom
16797,England,50,Female,United Kingdom
14667,England,58,Male,United Kingdom
17377,England,52,Female,United Kingdom
14467,England,70,Male,United Kingdom
13457,Wales,48,Male,United Kingdom
18108,England,37,Female,United Kingdom
16210,England,45,Female,United Kingdom
17867,England,58,Male,United Kingdom
14669,Wales,28,Female,United Kingdom
17909,Scotland,30,Male,United Kingdom
16086,England,35,Male,United Kingdom
16711,England,18,Female,United Kingdom
14739,England,42,Female,United Kingdom
16233,England,18,Male,United Kingdom
14204,England,40,Male,United Kingdom
17606,England,52,Female,United Kingdom
16126,England,32,Male,United Kingdom
17412,Scotland,65,Male,United Kingdom
16525,Scotland,18,Female,United Kingdom
13313,England,57,Female,United Kingdom
14549,England,50,Male,United Kingdom
14106,England,18,Female,United Kingdom
14980,England,70,Female,United Kingdom
14396,Scotland,39,Male,United Kingdom
